Renewable electricity generation in Germany in GWh (million kWh)
Year      Hydro    Wind      Biomass  Photovoltaics
2013     21200     49800      47800     29300
2012     21793     50670      43350     26380
2011     17671     48883      37603     19559
2010     20953     37793      34307     11729
2009     19100     38638      30400      6600
2008     21800     40300      28700      4300
2007     20700     39500      23800      3500
2006     19871     30710      17627      2220
2005     21524     27229      13534      1282
2004     21000     25509      10463       557
2003     20350     18859       9132       313
2002     23824     15786       5962       188
2001     23383     10509       5065       116
2000     24936      7550       4129        64
1999     21300      5528       3641        42
1998     19000      4489       3392        32
1997     19000      3000       2479        26
1996     18800      2200       2203        16
1995     21600      1800       2020        11
1994     20200       940       1870         8
1993     19000       670       1570         6
1992     18600       230       1545         3
1991     15900       140       1450         2
1990     17000        40       1422         1
